"","Date","Year","Month","New_users_transactions","Returning_users_transactions","New_Users_Revenue","Returning_Users_Revenue"
"132",2015-03-12,2015,"March",0,0,0,0
"133",2015-03-13,2015,"March",0,0,0,0
"134",2015-03-14,2015,"March",0,0,0,0
"135",2015-03-15,2015,"March",0,0,0,0
"136",2015-03-16,2015,"March",0,0,0,0
"137",2015-03-17,2015,"March",0,0,0,0
"138",2015-03-18,2015,"March",0,0,0,0
"139",2015-03-19,2015,"March",0,0,0,0
"140",2015-03-20,2015,"March",0,0,0,0
"141",2015-03-21,2015,"March",0,0,0,0
"142",2015-03-22,2015,"March",0,0,0,0
"143",2015-03-23,2015,"March",0,0,0,0
"144",2015-03-24,2015,"March",0,0,0,0
"145",2015-03-25,2015,"March",0,0,0,0
"146",2015-03-26,2015,"March",0,0,0,0
"147",2015-03-27,2015,"March",0,0,0,0
"148",2015-03-28,2015,"March",0,0,0,0
"149",2015-03-29,2015,"March",0,0,0,0
"150",2015-03-30,2015,"March",0,0,0,0
"151",2015-03-31,2015,"March",0,0,0,0
"152",2015-04-01,2015,"April",0,0,0,0
"153",2015-04-02,2015,"April",0,0,0,0
"154",2015-04-03,2015,"April",0,0,0,0
"155",2015-04-04,2015,"April",0,0,0,0
"156",2015-04-05,2015,"April",0,0,0,0
"157",2015-04-06,2015,"April",0,0,0,0
"158",2015-04-07,2015,"April",0,0,0,0
"159",2015-04-08,2015,"April",0,0,0,0
"160",2015-04-09,2015,"April",0,0,0,0
"161",2015-04-10,2015,"April",0,0,0,0
"162",2015-04-11,2015,"April",0,0,0,0
"163",2015-04-12,2015,"April",0,0,0,0
"164",2015-04-13,2015,"April",0,0,0,0
"165",2015-04-14,2015,"April",0,0,0,0
"166",2015-04-15,2015,"April",0,0,0,0
"167",2015-04-16,2015,"April",0,0,0,0
"168",2015-04-17,2015,"April",0,0,0,0
"169",2015-04-18,2015,"April",0,0,0,0
"170",2015-04-19,2015,"April",0,0,0,0
"171",2015-04-20,2015,"April",0,0,0,0
"172",2015-04-21,2015,"April",0,0,0,0
"173",2015-04-22,2015,"April",0,0,0,0
"174",2015-04-23,2015,"April",0,0,0,0
"175",2015-04-24,2015,"April",0,0,0,0
"176",2015-04-25,2015,"April",0,0,0,0
"177",2015-04-26,2015,"April",0,0,0,0
"178",2015-04-27,2015,"April",0,0,0,0
"179",2015-04-28,2015,"April",0,0,0,0
"180",2015-04-29,2015,"April",0,0,0,0
"181",2015-04-30,2015,"April",0,0,0,0
"182",2015-05-01,2015,"May",0,0,0,0
